key,value,title,screenshot,wip
volunteer_portal.menu.settings,Settings,,https://drive.google.com/file/d/1sscA9IzOk7uqy7LU6ow_iZ_6IcjfFn6K,TRUE
volunteer_portal.header.user_profile.default_office,Default Office,,https://drive.google.com/file/d/1sscA9IzOk7uqy7LU6ow_iZ_6IcjfFn6K,TRUE
volunteer_portal.header.user_profile.language,Language,,https://drive.google.com/file/d/1sscA9IzOk7uqy7LU6ow_iZ_6IcjfFn6K,TRUE
volunteer_portal.header.user_profile.admin,Admin,,https://drive.google.com/drive/u/0/folders/1sVF-vGBRtytyPRGT2B3RIwd6LKMkh70g,TRUE
volunteer_portal.header.user_profile.volunteer,Volunteer,,https://drive.google.com/file/d/1sscA9IzOk7uqy7LU6ow_iZ_6IcjfFn6K,TRUE
volunteer_portal.header.user_profile.sign_out,Sign Out,,https://drive.google.com/file/d/1sscA9IzOk7uqy7LU6ow_iZ_6IcjfFn6K,TRUE
volunteer_portal.dashboard.layouttab.calendar,Calendar,Clickable tab that displays the Calendar View,https://drive.google.com/open?id=1TEM84-1i6-GgF7N4cJuoTouGgCi0HC_f,TRUE
volunteer_portal.dashboard.layouttab.dashboard,Dashboard,Clickable tab that displays the Dashboard View,https://drive.google.com/open?id=17xYrax65oH20lvlK6Cdd9flO1MVUp2-4,TRUE
volunteer_portal.dashboard.layouttab.myevents,My Events,Clickable tab that displays the user related events,https://drive.google.com/open?id=1sbs3Uo2e764YFh40Na2DQsdahVD2W-Ne,TRUE
volunteer_portal.dashboard.layouttab.eventpopover.button.details,Details,Button to see more details about the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventpopover.button.signup,Sign Up,Button to sign up to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventpopover.button.leave,Leave,Button to sign up to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventpopover.button.full,Full,Button to sign up to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventpopover.label.attending,Attending,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventpopover.label.availablespots,Available spots,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventdetails.label.calendar,‹ Calendar,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventdetails.label.overview,Overview,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventdetails.label.details,Details,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventdetails.label.attending,Attending,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventdetails.label.available,Available,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventdetails.label.capacity,Capacity:,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventdetails.label.export,Export,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventdetails.label.addtocalendar,Add to Google Calendar,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layouttab.eventdetails.label.novolunteers,There are no volunteers assigned.,Number of people attending to the event,https://drive.google.com/file/d/10wQib_0G5nTqAzYKCsatYfgGjyLnCSQP/view?usp=sharing,TRUE
volunteer_portal.dashboard.layoutdatetab.today,Today,Clickable text that will show the calendar with today's date,https://drive.google.com/open?id=1pO28Ugnx0UGXP5E3dM8y0LpogdPc5Cnt,TRUE
volunteer_portal.dashboard.layouteventstab.show,Show:,Text refering to what events to show My Events or All Events,https://drive.google.com/open?id=1p9A8huzT8xpJmwKY6P_Ci4sqC6uh7r_t,TRUE
volunteer_portal.dashboard.layouteventstab.show_all,All,Dropdown to choose between seeing All Events or My Events only,https://drive.google.com/open?id=1lsq8KegHPQ34zhTJKvUsQTXro9dV3Ic6,TRUE
volunteer_portal.dashboard.layouteventstab.show_myevents,My Events,Dropdown to choose between seeing All Events or My Events only,https://drive.google.com/open?id=1gshUUNWv0KL4idMo_e4DdYweouTdLwRl,TRUE
volunteer_portal.dashboard.layouteventstab.event,Events:,"Text refering to what events to show Open, Full or All",https://drive.google.com/open?id=1GgUV7v5EoMrY5NP2q3ksQRxZZM6ercUG,TRUE
volunteer_portal.dashboard.layouteventstab.event_all,All,"Dropdown to choose between seeing All, Open or Full Events only",https://drive.google.com/open?id=112x7kr7hckUNBbsXqSEbU7HwRYko8KOW,TRUE
volunteer_portal.dashboard.layouteventstab.event_open,Open,"Dropdown to choose between seeing All, Open or Full Events only",https://drive.google.com/open?id=1zJjGC180wYoZA_7QifaQMLtAZDnT3GBl,TRUE
volunteer_portal.dashboard.layouteventstab.event_full,Full,"Dropdown to choose between seeing All, Open or Full Events only",https://drive.google.com/open?id=1FiTovVMi8v6-GnfLeAyLVJxwkkHvI8eP,TRUE
volunteer_portal.dashboard.layouteventstab.office,Office:,Text refering to what office events to show whether one specific city or All cities,https://drive.google.com/open?id=11wK-cIUOnyBhcAUd639IXvEyhrAQ_6kK,TRUE
volunteer_portal.dashboard.layouteventstab.office_all,All,Dropdown to choose between seeing events in All cities or one in specific,https://drive.google.com/open?id=1OzKPa8-smgMHXg8G3dnqXyw3RiB7PM8j,TRUE
volunteer_portal.admin.tab.office,Office:,Text refering to what office events to show whether one specific city or All cities,https://drive.google.com/open?id=1DT8S0VLfRy68pNDWZ15YmWclQYFuG5LH,TRUE
volunteer_portal.admin.tab.office_all,All,Dropdown to choose between seeing events in All cities or one in specific,https://drive.google.com/open?id=16hA6lNYl0pB4qoSf6EzaekQgYfEHlT40,TRUE
volunteer_portal.admin.tab.dashboard,Dashboard,Clickable tab that displays the administrator Dashboard View,https://drive.google.com/open?id=1CDtmITTBBL_oWPpSfw9WyCAZteHXh0HH,TRUE
volunteer_portal.admin.tab.events,Events,Clickable tab that displays the administrator Events View,https://drive.google.com/open?id=1hog3if5Cu3egwE4G_CdoDipkZQwcpmD-,TRUE
volunteer_portal.admin.tab.eventtypes,Event Types,Clickable tab that displays the administrator Event Types View,https://drive.google.com/open?id=1p5l0rZo-2pFQITAXFMy45CFcc5gV0GFK,TRUE
volunteer_portal.admin.tab.tags,Tags,Clickable tab that displays the administrator Tags View,https://drive.google.com/drive/u/0/folders/1sVF-vGBRtytyPRGT2B3RIwd6LKMkh70g,TRUE
volunteer_portal.admin.tab.offices,Offices,Clickable tab that displays the administrator Offices View,https://drive.google.com/open?id=1f9nZnTUKQaMnpNquc1VqdH6sKvryNJ4W,TRUE
volunteer_portal.admin.tab.organizations,Organizations,Clickable tab that displays the administrator Organizations View,https://drive.google.com/open?id=1F1sxXNsCd-2AtR-4unVZPOLK1P7l8zwt,TRUE
volunteer_portal.admin.tab.individualevents,Individual Events,Clickable tab that displays the administrator Individual Events View,https://drive.google.com/open?id=1qVwYdnBDhMRR9l3eqx-yyHTWPchQDHiJ,TRUE
volunteer_portal.admin.tab.users,Users,Clickable tab that displays the administrator Users View,https://drive.google.com/open?id=1bQIlk90OYX9FDR8lZU1p_aR3o3jlr0cm,TRUE
